1,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
273,CHO,26,12/19/2014,Away,PHI,W,109,91,43,98,0.439,10,24,0.417,13,17,0.765,17,45,25,10,3,14,17,32,71,0.451,12,26,0.462,15,17,0.882,2,35,23,6,12,24,17
283,CHO,27,12/20/2014,Home,UTA,W,104,86,42,87,0.483,9,22,0.409,11,16,0.688,15,49,21,8,3,5,14,33,85,0.388,8,31,0.258,12,15,0.8,13,39,18,3,5,9,15
293,CHO,28,12/22/2014,Home,DEN,W,110,82,43,80,0.538,8,19,0.421,16,24,0.667,6,44,23,6,6,12,21,31,82,0.378,2,18,0.111,18,24,0.75,9,37,11,6,4,13,20
303,CHO,29,12/23/2014,Away,MIL,W,108,101,36,82,0.439,8,21,0.381,28,36,0.778,11,43,21,6,5,12,21,39,82,0.476,8,21,0.381,15,20,0.75,9,40,25,7,6,20,25
315,CHO,30,12/26/2014,Away,OKC,L,75,98,25,87,0.287,5,24,0.208,20,26,0.769,15,52,12,8,2,15,20,36,88,0.409,8,27,0.296,18,21,0.857,13,57,18,6,10,11,25
323,CHO,31,12/27/2014,Home,ORL,L,94,102,36,86,0.419,8,24,0.333,14,18,0.778,9,41,18,2,8,10,19,38,83,0.458,8,20,0.4,18,24,0.75,5,40,22,6,4,6,18
333,CHO,32,12/29/2014,Home,MIL,L,94,104,33,90,0.367,7,25,0.28,21,26,0.808,9,48,20,13,9,17,20,40,85,0.471,6,21,0.286,18,21,0.857,2,42,21,8,10,19,25
343,CHO,33,12/31/2014,Away,HOU,L,83,102,29,76,0.382,3,18,0.167,22,26,0.846,7,41,15,6,9,16,17,38,88,0.432,17,43,0.395,9,14,0.643,10,41,22,10,7,14,25
353,CHO,34,1/2/2015,Home,CLE,L,87,91,32,87,0.368,6,28,0.214,17,26,0.654,15,50,20,5,6,14,24,33,87,0.379,4,15,0.267,21,30,0.7,13,46,16,8,5,7,23
363,CHO,35,1/3/2015,Away,ORL,W,98,90,35,78,0.449,4,16,0.25,24,32,0.75,16,53,16,4,4,14,15,33,87,0.379,4,19,0.211,20,21,0.952,12,44,18,9,3,7,24
