1,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
4372,LAC,42,1/14/2017,Home,LAL,W,113,97,48,92,0.522,10,28,0.357,7,8,0.875,7,42,28,6,6,7,24,36,80,0.45,10,21,0.476,15,27,0.556,6,40,21,3,2,14,20
4472,LAC,43,1/16/2017,Home,OKC,W,120,98,45,82,0.549,12,28,0.429,18,22,0.818,10,47,27,9,5,15,15,36,85,0.424,10,30,0.333,16,19,0.842,9,36,18,10,4,15,15
4572,LAC,44,1/19/2017,Home,MIN,L,101,104,42,87,0.483,4,22,0.182,13,24,0.542,14,41,24,9,6,11,21,40,84,0.476,5,16,0.313,19,25,0.76,13,43,25,3,2,13,21
4672,LAC,45,1/21/2017,Away,DEN,L,98,123,40,96,0.417,10,32,0.313,8,8,1,10,35,23,5,2,7,23,46,87,0.529,10,24,0.417,21,26,0.808,10,45,30,4,0,10,16
4772,LAC,46,1/23/2017,Away,ATL,W,115,105,42,84,0.5,14,24,0.583,17,22,0.773,10,46,23,4,8,11,19,37,88,0.42,9,29,0.31,22,26,0.846,8,40,28,8,2,8,17
4872,LAC,47,1/24/2017,Away,PHI,L,110,121,33,71,0.465,18,34,0.529,26,41,0.634,11,46,17,4,1,17,22,45,90,0.5,10,29,0.345,21,22,0.955,6,38,35,8,7,5,27
4972,LAC,48,1/28/2017,Away,GSW,L,98,144,36,82,0.439,12,28,0.429,14,22,0.636,8,32,24,7,2,14,18,57,92,0.62,17,34,0.5,13,16,0.813,9,48,35,9,7,11,17
5072,LAC,49,2/1/2017,Away,PHO,W,124,114,44,85,0.518,5,19,0.263,31,38,0.816,8,46,20,9,8,10,28,39,96,0.406,7,20,0.35,29,35,0.829,17,44,21,5,3,12,27
51111,LAC,50,2/2/2017,Home,GSW,L,120,133,40,80,0.5,10,25,0.4,30,39,0.769,9,37,24,7,7,15,18,52,99,0.525,14,34,0.412,15,18,0.833,15,46,38,10,2,11,26
5276,LAC,51,2/5/2017,Away,BOS,L,102,107,35,84,0.417,10,29,0.345,22,28,0.786,8,46,22,4,0,13,13,37,88,0.42,16,52,0.308,17,20,0.85,9,45,24,9,3,11,21
5372,LAC,52,2/6/2017,Away,TOR,L,109,118,42,90,0.467,13,35,0.371,12,18,0.667,9,39,24,7,5,9,19,41,84,0.488,10,24,0.417,26,29,0.897,11,47,20,6,1,9,23
5472,LAC,53,2/8/2017,Away,NYK,W,119,115,45,92,0.489,10,25,0.4,19,28,0.679,14,47,22,8,3,11,20,46,92,0.5,8,27,0.296,15,18,0.833,12,41,25,9,5,11,22
5572,LAC,54,2/11/2017,Away,CHO,W,107,102,40,85,0.471,14,34,0.412,13,20,0.65,10,50,26,3,6,13,21,37,85,0.435,13,37,0.351,15,20,0.75,8,40,24,6,4,8,20
5672,LAC,55,2/13/2017,Away,UTA,W,88,72,36,81,0.444,9,25,0.36,7,11,0.636,6,49,16,7,7,13,19,28,87,0.322,4,23,0.174,12,18,0.667,12,49,14,5,4,10,11
5772,LAC,56,2/15/2017,Home,ATL,W,99,84,37,79,0.468,14,37,0.378,11,12,0.917,5,40,24,18,3,16,17,32,79,0.405,7,26,0.269,13,19,0.684,10,45,20,5,1,20,13
5872,LAC,57,2/23/2017,Away,GSW,L,113,123,38,93,0.409,11,28,0.393,26,37,0.703,10,38,23,11,0,14,16,43,81,0.531,13,25,0.52,24,26,0.923,10,53,31,11,11,21,27
5972,LAC,58,2/24/2017,Home,SAS,L,97,105,35,79,0.443,7,23,0.304,20,24,0.833,8,36,18,9,2,12,26,35,82,0.427,9,26,0.346,26,30,0.867,15,51,23,9,7,13,21
6072,LAC,59,2/26/2017,Home,CHO,W,124,121,45,97,0.464,10,32,0.313,24,34,0.706,15,47,27,14,3,9,25,38,80,0.475,18,40,0.45,27,30,0.9,5,43,16,1,1,16,32
61111,LAC,60,3/1/2017,Home,HOU,L,103,122,42,94,0.447,12,34,0.353,7,13,0.538,10,36,26,8,3,7,23,37,87,0.425,20,52,0.385,28,33,0.848,19,62,21,3,2,16,17
6276,LAC,61,3/3/2017,Away,MIL,L,101,112,36,64,0.563,8,19,0.421,21,36,0.583,7,38,23,4,1,23,18,44,80,0.55,10,25,0.4,14,15,0.933,3,25,35,11,4,10,27
6372,LAC,62,3/4/2017,Away,CHI,W,101,91,41,85,0.482,6,25,0.24,13,16,0.813,11,37,20,7,5,14,17,35,83,0.422,6,17,0.353,15,20,0.75,14,45,26,11,0,19,24
6472,LAC,63,3/6/2017,Home,BOS,W,116,102,39,73,0.534,9,20,0.45,29,47,0.617,8,47,23,7,5,13,24,34,83,0.41,10,35,0.286,24,29,0.828,7,37,22,9,2,11,31
6572,LAC,64,3/8/2017,Away,MIN,L,91,107,35,83,0.422,9,24,0.375,12,18,0.667,10,36,18,9,3,16,18,42,86,0.488,5,20,0.25,18,20,0.9,14,50,26,10,4,12,23
6672,LAC,65,3/9/2017,Away,MEM,W,114,98,40,78,0.513,11,30,0.367,23,28,0.821,7,47,24,2,4,14,18,37,83,0.446,7,20,0.35,17,22,0.773,6,34,26,6,2,9,22
6772,LAC,66,3/11/2017,Home,PHI,W,112,100,40,81,0.494,8,25,0.32,24,29,0.828,8,41,25,13,3,13,13,40,84,0.476,10,30,0.333,10,14,0.714,7,41,28,11,1,16,23
6872,LAC,67,3/13/2017,Away,UTA,L,108,114,39,78,0.5,12,30,0.4,18,23,0.783,3,28,16,4,2,6,22,41,78,0.526,14,21,0.667,18,22,0.818,8,42,22,1,3,7,22
6972,LAC,68,3/15/2017,Home,MIL,L,96,97,35,75,0.467,5,24,0.208,21,29,0.724,6,42,23,3,4,15,20,34,76,0.447,10,29,0.345,19,25,0.76,4,36,22,8,2,11,25
7072,LAC,69,3/16/2017,Away,DEN,L,114,129,44,84,0.524,16,32,0.5,10,15,0.667,4,34,26,5,4,9,19,46,86,0.535,15,28,0.536,22,26,0.846,11,48,31,7,2,10,14
71111,LAC,70,3/18/2017,Home,CLE,W,108,78,40,78,0.513,8,26,0.308,20,29,0.69,7,54,27,4,3,14,15,32,83,0.386,5,27,0.185,9,13,0.692,4,40,15,5,0,12,24
7276,LAC,71,3/20/2017,Home,NYK,W,114,105,43,87,0.494,10,31,0.323,18,24,0.75,9,43,25,8,4,9,19,40,89,0.449,6,24,0.25,19,24,0.792,14,48,24,6,1,12,19
7372,LAC,72,3/21/2017,Away,LAL,W,133,109,45,84,0.536,15,33,0.455,28,32,0.875,13,48,23,4,4,15,21,43,92,0.467,6,20,0.3,17,27,0.63,14,41,23,8,3,8,22
7472,LAC,73,3/23/2017,Away,DAL,L,95,97,36,80,0.45,9,27,0.333,14,21,0.667,9,45,18,6,2,17,16,38,82,0.463,9,26,0.346,12,18,0.667,4,34,26,11,4,9,18
7572,LAC,74,3/25/2017,Home,UTA,W,108,95,38,84,0.452,7,27,0.259,25,28,0.893,11,47,14,9,5,10,17,37,86,0.43,8,26,0.308,13,18,0.722,12,43,22,5,3,14,22
7672,LAC,75,3/26/2017,Home,SAC,L,97,98,32,78,0.41,10,29,0.345,23,28,0.821,6,45,20,7,2,9,14,38,84,0.452,13,28,0.464,9,13,0.692,6,46,23,5,4,12,25
7772,LAC,76,3/29/2017,Home,WAS,W,133,124,47,83,0.566,12,30,0.4,27,37,0.73,8,41,27,6,4,10,22,46,93,0.495,13,34,0.382,19,29,0.655,14,43,22,7,0,10,31
7872,LAC,77,3/30/2017,Away,PHO,W,124,118,44,80,0.55,12,22,0.545,24,34,0.706,7,39,20,4,4,14,21,49,92,0.533,7,23,0.304,13,24,0.542,13,43,24,6,2,14,27
7972,LAC,78,4/1/2017,Home,LAL,W,115,104,38,69,0.551,11,25,0.44,28,34,0.824,4,39,24,8,5,17,19,39,90,0.433,6,23,0.261,20,30,0.667,15,41,26,12,2,11,27
8072,LAC,79,4/5/2017,Home,DAL,W,112,101,38,75,0.507,12,31,0.387,24,31,0.774,5,40,22,11,0,15,19,38,86,0.442,11,31,0.355,14,18,0.778,11,44,24,5,3,16,26
8173,LAC,80,4/8/2017,Away,SAS,W,98,87,42,84,0.5,6,22,0.273,8,14,0.571,8,45,21,8,7,6,15,34,80,0.425,8,22,0.364,11,14,0.786,7,40,20,3,3,13,17
8272,LAC,81,4/10/2017,Home,HOU,W,125,96,46,91,0.505,10,26,0.385,23,28,0.821,12,49,29,9,0,9,16,33,84,0.393,9,40,0.225,21,27,0.778,9,41,23,5,3,15,23
1277,LAC,82,4/12/2017,Home,SAC,W,115,95,43,83,0.518,10,28,0.357,19,25,0.76,11,43,29,4,6,6,15,40,81,0.494,5,11,0.455,10,14,0.714,7,37,27,2,1,10,18
2277,LAL,1,10/26/2016,Home,HOU,W,120,114,45,89,0.506,12,35,0.343,18,22,0.818,11,39,21,10,4,15,24,44,86,0.512,7,29,0.241,19,27,0.704,10,39,29,10,1,14,23
3277,LAL,2,10/28/2016,Away,UTA,L,89,96,32,84,0.381,9,23,0.391,16,21,0.762,11,43,16,6,7,14,29,31,75,0.413,6,25,0.24,28,40,0.7,13,47,14,4,7,14,18
4277,LAL,3,10/30/2016,Away,OKC,L,96,113,35,87,0.402,7,32,0.219,19,24,0.792,11,41,20,15,2,21,18,45,95,0.474,9,26,0.346,14,17,0.824,10,45,29,15,6,19,22
5277,LAL,4,11/1/2016,Away,IND,L,108,115,40,89,0.449,6,28,0.214,22,25,0.88,11,44,14,8,2,19,25,41,87,0.471,10,28,0.357,23,29,0.793,11,43,19,10,8,15,20
6277,LAL,5,11/2/2016,Away,ATL,W,123,116,48,90,0.533,9,22,0.409,18,20,0.9,11,42,24,11,9,15,25,41,85,0.482,11,32,0.344,23,29,0.793,10,37,30,10,1,18,19
7277,LAL,6,11/4/2016,Home,GSW,W,117,97,45,95,0.474,8,30,0.267,19,21,0.905,16,51,26,9,5,16,19,39,86,0.453,5,32,0.156,14,20,0.7,9,40,26,13,3,20,13
892,LAL,7,11/6/2016,Home,PHO,W,119,108,41,90,0.456,10,23,0.435,27,35,0.771,15,53,22,8,5,19,22,40,91,0.44,6,20,0.3,22,28,0.786,11,40,20,8,2,17,30
973,LAL,8,11/8/2016,Home,DAL,L,97,109,38,78,0.487,10,26,0.385,11,14,0.786,8,37,20,6,1,16,19,43,82,0.524,10,23,0.435,13,15,0.867,8,37,24,11,4,11,12
1073,LAL,9,11/10/2016,Away,SAC,W,101,91,38,74,0.514,9,27,0.333,16,22,0.727,4,42,18,8,2,21,19,34,85,0.4,8,21,0.381,15,20,0.75,11,43,18,13,3,15,19
11112,LAL,10,11/12/2016,Away,NOP,W,126,99,52,94,0.553,16,30,0.533,6,7,0.857,10,47,36,8,5,10,17,39,90,0.433,6,20,0.3,15,19,0.789,12,42,20,4,5,10,10
1278,LAL,11,11/13/2016,Away,MIN,L,99,125,33,71,0.465,8,24,0.333,25,30,0.833,5,39,16,6,5,17,31,42,80,0.525,13,27,0.481,28,42,0.667,9,44,28,10,4,10,19
1373,LAL,12,11/15/2016,Home,BRK,W,125,118,41,92,0.446,9,28,0.321,34,43,0.791,14,55,24,9,2,11,17,45,99,0.455,12,41,0.293,16,20,0.8,9,47,23,8,6,14,27
1473,LAL,13,11/18/2016,Home,SAS,L,107,116,39,87,0.448,12,25,0.48,17,21,0.81,15,45,24,6,1,13,21,44,78,0.564,10,24,0.417,18,19,0.947,3,34,30,8,6,12,18
1573,LAL,14,11/20/2016,Home,CHI,L,110,118,41,93,0.441,13,31,0.419,15,21,0.714,10,37,26,11,3,10,19,45,87,0.517,8,22,0.364,20,28,0.714,16,56,27,6,3,16,16
1673,LAL,15,11/22/2016,Home,OKC,W,111,109,42,83,0.506,14,27,0.519,13,16,0.813,6,35,25,8,7,17,17,45,92,0.489,11,27,0.407,8,11,0.727,11,40,29,11,6,15,14
1773,LAL,16,11/23/2016,Away,GSW,L,106,149,40,93,0.43,8,20,0.4,18,22,0.818,7,37,22,5,1,11,25,53,86,0.616,19,36,0.528,24,35,0.686,6,48,47,7,5,10,20
1873,LAL,17,11/25/2016,Home,GSW,L,85,109,32,90,0.356,5,22,0.227,16,23,0.696,14,45,20,12,3,18,16,43,83,0.518,11,28,0.393,12,17,0.706,4,44,31,10,10,17,21
1973,LAL,18,11/27/2016,Home,ATL,W,109,94,42,95,0.442,8,20,0.4,17,20,0.85,15,53,20,7,2,9,15,39,88,0.443,12,35,0.343,4,10,0.4,7,38,25,5,6,12,19
2073,LAL,19,11/29/2016,Away,NOP,L,88,105,37,87,0.425,5,30,0.167,9,18,0.5,9,47,26,8,5,12,17,38,88,0.432,8,31,0.258,21,25,0.84,13,54,24,10,3,8,17
21112,LAL,20,11/30/2016,Away,CHI,W,96,90,33,81,0.407,2,8,0.25,28,41,0.683,18,60,17,12,3,23,24,32,91,0.352,4,21,0.19,22,29,0.759,14,46,22,15,11,14,26
2278,LAL,21,12/2/2016,Away,TOR,L,80,113,32,93,0.344,6,26,0.231,10,17,0.588,19,46,16,6,2,16,18,45,83,0.542,12,29,0.414,11,13,0.846,7,44,25,8,5,10,18
2373,LAL,22,12/3/2016,Away,MEM,L,100,103,35,81,0.432,7,21,0.333,23,29,0.793,14,44,16,7,4,18,18,41,88,0.466,10,30,0.333,11,15,0.733,14,43,32,13,7,11,19
2473,LAL,23,12/5/2016,Home,UTA,L,101,107,39,87,0.448,5,14,0.357,18,23,0.783,15,43,15,8,1,10,23,38,80,0.475,13,32,0.406,18,29,0.621,11,39,26,5,7,12,18
2573,LAL,24,12/7/2016,Away,HOU,L,95,134,34,87,0.391,5,20,0.25,22,27,0.815,14,39,14,13,4,27,22,51,94,0.543,15,36,0.417,17,21,0.81,15,52,35,20,2,20,22
2673,LAL,25,12/9/2016,Home,PHO,L,115,119,40,87,0.46,9,26,0.346,26,34,0.765,10,49,18,4,2,15,21,45,95,0.474,13,30,0.433,16,21,0.762,9,44,26,8,8,7,24
2773,LAL,26,12/11/2016,Home,NYK,L,112,118,42,88,0.477,10,28,0.357,18,22,0.818,9,41,26,7,1,14,22,41,84,0.488,10,22,0.455,26,31,0.839,8,44,21,9,11,10,15
2873,LAL,27,12/12/2016,Away,SAC,L,92,116,33,84,0.393,10,23,0.435,16,21,0.762,17,39,18,12,3,19,16,47,84,0.56,10,23,0.435,12,21,0.571,13,47,23,16,6,21,20
2973,LAL,28,12/14/2016,Away,BRK,L,97,107,35,91,0.385,6,27,0.222,21,34,0.618,18,49,11,8,6,10,26,33,86,0.384,11,35,0.314,30,40,0.75,19,61,19,7,4,15,26
3073,LAL,29,12/16/2016,Away,PHI,W,100,89,36,79,0.456,9,30,0.3,19,22,0.864,8,46,19,10,4,20,21,32,88,0.364,6,31,0.194,19,24,0.792,16,48,22,7,4,17,17
31112,LAL,30,12/17/2016,Away,CLE,L,108,119,41,86,0.477,16,37,0.432,10,13,0.769,10,41,30,3,2,11,16,46,89,0.517,15,33,0.455,12,18,0.667,11,44,30,8,3,8,12
3278,LAL,31,12/20/2016,Away,CHO,L,113,117,44,90,0.489,16,33,0.485,9,11,0.818,10,40,29,5,12,12,20,43,94,0.457,11,25,0.44,20,24,0.833,16,44,30,5,2,10,13
3373,LAL,32,12/22/2016,Away,MIA,L,107,115,40,90,0.444,14,38,0.368,13,15,0.867,9,40,18,7,2,13,14,45,84,0.536,11,22,0.5,14,21,0.667,10,47,25,7,6,12,15
3473,LAL,33,12/23/2016,Away,ORL,L,90,109,31,87,0.356,8,23,0.348,20,24,0.833,12,46,16,8,6,16,14,45,89,0.506,11,27,0.407,8,14,0.571,7,47,25,10,11,14,20
3573,LAL,34,12/25/2016,Home,LAC,W,111,102,40,84,0.476,8,25,0.32,23,30,0.767,13,48,18,7,3,13,21,37,85,0.435,10,29,0.345,18,22,0.818,10,42,24,9,5,15,20
3673,LAL,35,12/27/2016,Home,UTA,L,100,102,39,83,0.47,4,16,0.25,18,22,0.818,15,40,19,8,3,14,21,38,75,0.507,9,26,0.346,17,24,0.708,14,39,19,6,4,19,18
3773,LAL,36,12/29/2016,Home,DAL,L,89,101,32,68,0.471,7,19,0.368,18,25,0.72,7,34,15,8,1,15,18,38,77,0.494,14,31,0.452,11,14,0.786,10,42,24,8,2,15,17
3873,LAL,37,1/1/2017,Home,TOR,L,114,123,37,92,0.402,15,32,0.469,25,31,0.806,16,43,19,8,3,7,21,42,75,0.56,10,17,0.588,29,32,0.906,5,40,18,5,9,16,25
3973,LAL,38,1/3/2017,Home,MEM,W,116,102,42,82,0.512,17,33,0.515,15,28,0.536,9,43,34,5,2,9,23,30,77,0.39,10,31,0.323,32,35,0.914,5,39,18,6,1,10,16
4073,LAL,39,1/5/2017,Away,POR,L,109,118,36,86,0.419,10,31,0.323,27,33,0.818,10,40,15,7,3,11,25,43,81,0.531,12,33,0.364,20,30,0.667,8,47,29,6,5,13,21
41112,LAL,40,1/6/2017,Home,MIA,W,127,100,48,96,0.5,10,28,0.357,21,29,0.724,18,62,22,6,2,11,22,38,92,0.413,8,32,0.25,16,27,0.593,11,41,17,5,7,10,23
4278,LAL,41,1/8/2017,Home,ORL,W,111,95,42,87,0.483,8,32,0.25,19,24,0.792,6,47,23,8,5,13,21,34,90,0.378,7,26,0.269,20,29,0.69,18,54,24,5,3,18,20
4373,LAL,42,1/10/2017,Home,POR,L,87,108,32,83,0.386,9,24,0.375,14,26,0.538,9,38,18,7,5,10,18,43,85,0.506,7,21,0.333,15,20,0.75,9,50,25,6,9,11,21
4473,LAL,43,1/12/2017,Away,SAS,L,94,134,35,85,0.412,6,20,0.3,18,25,0.72,9,29,23,6,3,9,25,49,81,0.605,10,21,0.476,26,29,0.897,7,46,32,5,5,12,20
4573,LAL,44,1/14/2017,Away,LAC,L,97,113,36,80,0.45,10,21,0.476,15,27,0.556,6,40,21,3,2,14,20,48,92,0.522,10,28,0.357,7,8,0.875,7,42,28,6,6,7,24
4673,LAL,45,1/15/2017,Home,DET,L,97,102,36,83,0.434,6,26,0.231,19,24,0.792,9,50,19,2,4,14,18,41,95,0.432,9,25,0.36,11,16,0.688,10,46,24,6,6,7,22
4773,LAL,46,1/17/2017,Home,DEN,L,121,127,47,108,0.435,11,30,0.367,16,18,0.889,20,43,28,11,5,12,21,50,88,0.568,11,26,0.423,16,26,0.615,13,45,29,5,9,17,17
4873,LAL,47,1/20/2017,Home,IND,W,108,95,41,87,0.471,14,33,0.424,12,15,0.8,16,51,27,15,3,23,20,34,80,0.425,9,23,0.391,18,25,0.72,8,37,24,17,6,20,12
4973,LAL,48,1/22/2017,Away,DAL,L,73,122,28,73,0.384,3,21,0.143,14,17,0.824,5,32,11,3,4,17,20,43,87,0.494,17,39,0.436,19,19,1,13,49,27,9,4,10,15
5073,LAL,49,1/25/2017,Away,POR,L,98,105,37,94,0.394,11,30,0.367,13,14,0.929,14,51,16,5,9,13,17,43,90,0.478,4,15,0.267,15,20,0.75,9,49,17,5,4,11,12
51112,LAL,50,1/26/2017,Away,UTA,L,88,96,36,84,0.429,4,14,0.286,12,13,0.923,10,48,13,5,2,12,24,33,81,0.407,6,26,0.231,24,28,0.857,10,44,13,7,6,8,10
5278,LAL,51,1/31/2017,Home,DEN,W,120,116,47,89,0.528,12,26,0.462,14,18,0.778,10,44,25,7,10,15,16,41,99,0.414,15,27,0.556,19,23,0.826,20,51,26,12,5,11,18
5373,LAL,52,2/2/2017,Away,WAS,L,108,116,40,87,0.46,12,39,0.308,16,22,0.727,12,47,19,6,8,20,23,44,96,0.458,12,33,0.364,16,21,0.762,12,45,27,11,6,10,19
5473,LAL,53,2/3/2017,Away,BOS,L,107,113,37,94,0.394,14,38,0.368,19,26,0.731,15,52,24,9,3,12,23,39,82,0.476,13,35,0.371,22,28,0.786,7,47,28,8,1,16,19
5573,LAL,54,2/6/2017,Away,NYK,W,121,107,44,102,0.431,8,28,0.286,25,31,0.806,20,55,19,9,5,7,28,37,82,0.451,7,21,0.333,26,33,0.788,6,40,16,4,4,16,24
5673,LAL,55,2/8/2017,Away,DET,L,102,121,37,86,0.43,6,23,0.261,22,26,0.846,7,41,21,7,3,21,21,51,97,0.526,4,16,0.25,15,24,0.625,14,52,32,11,6,14,14
5773,LAL,56,2/10/2017,Away,MIL,W,122,114,39,75,0.52,15,31,0.484,29,35,0.829,6,33,25,9,3,17,24,40,76,0.526,8,28,0.286,26,31,0.839,4,34,27,11,5,20,29
5873,LAL,57,2/14/2017,Home,SAC,L,96,97,38,83,0.458,12,29,0.414,8,15,0.533,13,43,22,10,3,17,21,36,73,0.493,7,24,0.292,18,25,0.72,7,38,23,9,3,17,12
5973,LAL,58,2/15/2017,Away,PHO,L,101,137,35,93,0.376,9,26,0.346,22,28,0.786,7,36,16,9,3,12,27,49,88,0.557,10,24,0.417,29,34,0.853,12,59,32,7,10,15,20
6073,LAL,59,2/24/2017,Away,OKC,L,93,110,40,101,0.396,7,35,0.2,6,14,0.429,15,51,23,15,8,13,19,44,97,0.454,10,24,0.417,12,17,0.706,14,59,28,9,6,17,14
61112,LAL,60,2/26/2017,Home,SAS,L,98,119,40,87,0.46,7,22,0.318,11,18,0.611,13,44,16,8,2,18,18,49,94,0.521,10,21,0.476,11,13,0.846,13,46,37,12,5,12,15
6278,LAL,61,2/28/2017,Home,CHO,L,104,109,41,84,0.488,12,32,0.375,10,13,0.769,6,39,22,9,5,14,23,38,85,0.447,16,39,0.41,17,24,0.708,11,45,25,3,5,12,11
6373,LAL,62,3/3/2017,Home,BOS,L,95,115,37,87,0.425,6,24,0.25,15,20,0.75,6,34,23,11,7,14,21,43,84,0.512,10,33,0.303,19,25,0.76,6,46,30,7,2,18,17
6473,LAL,63,3/5/2017,Home,NOP,L,97,105,38,83,0.458,10,28,0.357,11,15,0.733,11,49,22,7,5,25,24,36,89,0.404,9,24,0.375,24,35,0.686,13,44,23,12,5,13,12
6573,LAL,64,3/7/2017,Away,DAL,L,111,122,42,90,0.467,11,30,0.367,16,22,0.727,11,44,25,9,3,11,20,45,83,0.542,17,31,0.548,15,19,0.789,6,41,25,5,5,14,17
6673,LAL,65,3/9/2017,Away,PHO,W,122,110,47,98,0.48,12,27,0.444,16,24,0.667,14,42,21,11,7,9,20,42,91,0.462,6,19,0.316,20,25,0.8,18,54,20,7,10,19,24
6773,LAL,66,3/12/2017,Home,PHI,L,116,118,44,88,0.5,4,20,0.2,24,28,0.857,7,40,24,10,10,15,21,41,79,0.519,10,24,0.417,26,32,0.813,4,34,28,8,4,16,24
6873,LAL,67,3/13/2017,Away,DEN,L,101,129,42,97,0.433,6,20,0.3,11,19,0.579,16,46,17,10,3,16,21,45,84,0.536,17,38,0.447,22,25,0.88,6,42,36,9,7,15,18
6973,LAL,68,3/15/2017,Away,HOU,L,100,139,42,91,0.462,3,25,0.12,13,18,0.722,9,38,16,10,0,22,25,50,91,0.549,18,43,0.419,21,32,0.656,13,50,37,13,4,19,21
7073,LAL,69,3/17/2017,Home,MIL,L,103,107,38,84,0.452,11,29,0.379,16,26,0.615,11,40,24,7,4,14,20,40,82,0.488,4,24,0.167,23,30,0.767,10,43,22,7,9,14,25
71112,LAL,70,3/19/2017,Home,CLE,L,120,125,47,91,0.516,11,27,0.407,15,19,0.789,10,40,23,5,1,5,25,45,85,0.529,13,36,0.361,22,27,0.815,10,44,19,4,2,10,16
7278,LAL,71,3/21/2017,Home,LAC,L,109,133,43,92,0.467,6,20,0.3,17,27,0.63,14,41,23,8,3,8,22,45,84,0.536,15,33,0.455,28,32,0.875,13,48,23,4,4,15,21
7373,LAL,72,3/24/2017,Home,MIN,W,130,119,46,88,0.523,14,23,0.609,24,28,0.857,9,42,26,6,2,20,23,46,95,0.484,7,21,0.333,20,22,0.909,12,37,32,13,10,13,20
7473,LAL,73,3/26/2017,Home,POR,L,81,97,33,84,0.393,5,21,0.238,10,17,0.588,1,42,19,6,3,10,17,36,89,0.404,12,28,0.429,13,18,0.722,12,61,24,8,4,13,16
7573,LAL,74,3/28/2017,Home,WAS,L,108,119,43,85,0.506,8,22,0.364,14,16,0.875,11,43,21,6,9,18,19,48,94,0.511,6,23,0.261,17,25,0.68,13,41,24,12,3,12,20
7673,LAL,75,3/30/2017,Away,MIN,L,104,119,40,84,0.476,9,27,0.333,15,16,0.938,14,42,20,4,5,16,22,43,89,0.483,10,21,0.476,23,30,0.767,14,40,30,9,5,10,20
7773,LAL,76,4/1/2017,Away,LAC,L,104,115,39,90,0.433,6,23,0.261,20,30,0.667,15,41,26,12,2,11,27,38,69,0.551,11,25,0.44,28,34,0.824,4,39,24,8,5,17,19
7873,LAL,77,4/2/2017,Home,MEM,W,108,103,40,85,0.471,7,19,0.368,21,27,0.778,17,51,14,11,2,13,12,40,80,0.5,13,30,0.433,10,14,0.714,5,33,29,8,5,14,19
7973,LAL,78,4/5/2017,Away,SAS,W,102,95,42,86,0.488,7,14,0.5,11,14,0.786,8,47,23,8,5,16,13,39,89,0.438,13,35,0.371,4,6,0.667,7,37,28,8,8,14,13
8073,LAL,79,4/7/2017,Home,SAC,W,98,94,38,86,0.442,4,24,0.167,18,25,0.72,16,41,20,12,1,14,15,38,75,0.507,8,20,0.4,10,13,0.769,10,40,27,5,6,23,19
8174,LAL,80,4/9/2017,Home,MIN,W,110,109,42,86,0.488,10,27,0.37,16,20,0.8,12,40,26,10,8,16,23,40,80,0.5,3,15,0.2,26,31,0.839,8,41,27,8,6,14,16
8273,LAL,81,4/11/2017,Home,NOP,W,108,96,42,88,0.477,8,22,0.364,16,23,0.696,8,47,24,15,3,11,18,37,79,0.468,7,22,0.318,15,20,0.75,5,39,29,5,5,16,16
1279,LAL,82,4/12/2017,Away,GSW,L,94,109,41,93,0.441,4,17,0.235,8,14,0.571,11,40,23,13,2,18,22,41,90,0.456,12,36,0.333,15,22,0.682,14,54,26,14,8,20,17
2279,MEM,1,10/26/2016,Home,MIN,W,102,98,36,80,0.45,11,24,0.458,19,27,0.704,11,45,19,6,11,13,25,36,86,0.419,6,18,0.333,20,29,0.69,15,45,20,6,5,10,23
3279,MEM,2,10/29/2016,Away,NYK,L,104,111,37,86,0.43,9,25,0.36,21,26,0.808,11,40,19,3,2,12,30,40,76,0.526,6,21,0.286,25,39,0.641,6,41,24,4,4,12,25
4279,MEM,3,10/30/2016,Home,WAS,W,112,103,39,88,0.443,15,31,0.484,19,26,0.731,11,47,24,9,2,14,26,38,86,0.442,5,25,0.2,22,25,0.88,8,40,19,8,4,14,23
5279,MEM,4,11/1/2016,Away,MIN,L,80,116,27,75,0.36,4,24,0.167,22,29,0.759,8,32,10,17,4,20,22,43,78,0.551,12,20,0.6,18,23,0.783,10,50,29,10,5,21,22
6279,MEM,5,11/2/2016,Home,NOP,W,89,83,33,94,0.351,8,27,0.296,15,20,0.75,13,52,20,12,5,17,22,30,81,0.37,11,34,0.324,12,16,0.75,5,43,17,8,9,21,26
7279,MEM,6,11/4/2016,Home,LAC,L,88,99,31,84,0.369,9,26,0.346,17,22,0.773,13,48,26,4,9,18,28,32,85,0.376,8,27,0.296,27,33,0.818,11,47,19,17,6,11,23
893,MEM,7,11/6/2016,Home,POR,L,94,100,31,81,0.383,6,26,0.231,26,32,0.813,12,44,15,9,5,13,20,32,71,0.451,14,33,0.424,22,27,0.815,5,37,19,7,5,15,25
